tag,country,n_sources,n_buildings,buildings_needed,prestige_goods,flavored_companies
AUS,Austria,10,22,arms_industry art_academy artillery_foundry automotive_industry coal_mine cotton_plantation electrics_industry furniture_manufactory glassworks iron_mine lead_mine logging_camp motor_industry munition_plant oil_rig power_plant shipyard silk_plantation steel_mill textile_mill tooling_workshop vineyard,bentwood_furniture(furniture) bohemian_crystal(glass) como_silk(silk) generic_small_arms(small_arms) generic_steel(steel) generic_tools(tools),company_galician_carpathian_oil company_gebruder_thonet company_ludwig_moser_and_sons company_manfred_weiss company_mantero_seta company_mav company_oevg company_ricordi company_skoda company_stt
MEX,Mexico,1,3,coal_mine iron_mine steel_mill,generic_steel(steel),company_fundidora_monterrey
KOR,Korea,3,11,food_industry gold_mine iron_mine lead_mine logging_camp maize_farm millet_farm power_plant railway rice_farm wheat_farm,generic_grain(grain),company_hanseong_jeongi_hoesa company_oriental_consolidated_mining company_oriental_development_company
BRZ,Brazil,8,14,artillery_foundry coal_mine coffee_plantation cotton_plantation cristo_redentor iron_mine livestock_ranch logging_camp motor_industry railway rubber_plantation shipyard steel_mill textile_mill,generic_clothes(clothes) generic_steel(steel),company_estaleiro_maua company_fundicao_ipanema company_pernambuco_textiles company_sao_paulo_railway
PER,Persia,2,4,cotton_plantation opium_plantation textile_mill tobacco_plantation,generic_clothes(clothes) generic_opium(opium),company_opium_export_monopoly company_sherkate_eslamiya
EGY,Egypt,2,3,cotton_plantation silk_plantation textile_mill,mit_afifi(fabric),company_misr company_nicolas_portalis
PAN,Punjab,0,0,,,
DEI,Dutch East Indies,2,10,coffee_plantation dye_plantation gold_mine iron_mine opium_plantation port rice_farm sugar_plantation tea_plantation tobacco_plantation,java_coffee(coffee),company_lanfang_kongsi company_nhm
HUN,Hungary,2,6,automotive_industry iron_mine motor_industry munition_plant steel_mill tooling_workshop,generic_steel(steel) generic_tools(tools),company_manfred_weiss company_mav
POR,Portugal,9,21,artillery_foundry cotton_plantation explosives_factory fishing_wharf food_industry iron_mine logging_camp motor_industry oil_rig opium_plantation port railway rice_farm rubber_plantation shipyard steel_mill tea_plantation textile_mill urban_center whaling_station wheat_farm,burmese_teak(hardwood) generic_clothes(clothes) generic_grain(grain) generic_groceries(groceries) generic_opium(opium),company_bombay_burmah_trading_corporation company_bombay_dyeing_company company_david_sassoon company_mozambique_company company_ralli_brothers company_ramirez company_tata company_wadia_shipbuilders
SIC,Two Sicilies,1,2,port sulfur_mine,sicilian_sulfur(sulfur),company_anglo_sicilian_sulphur_company
NET,Netherlands,2,8,automotive_industry electrics_industry iron_mine motor_industry power_plant shipyard steel_mill tooling_workshop,philips_chapel_radio(radios),company_philips company_van_vlissingen_en_dudok_van_heel
SOK,Sokoto,0,0,,,
SAR,Sardinia-Piedmont,4,9,artillery_foundry automotive_industry coal_mine iron_mine motor_industry power_plant shipyard steel_mill tooling_workshop,generic_steel(steel) turin_automobiles(automobiles),company_ansaldo company_fcm company_fiat company_ilva
SWE,Sweden,4,11,art_academy automotive_industry coal_mine electrics_industry iron_mine logging_camp motor_industry paper_mill shipyard steel_mill tooling_workshop,ericsson_apparatus(telephones) grand_strategy_games(fine_art) swedish_bar_iron(iron),company_ericsson company_gotaverken company_lkab company_paradox
HYD,Hyderabad,0,0,,,
GRE,Greece,2,4,automotive_industry motor_industry shipyard tooling_workshop,generic_tools(tools),company_basileiades company_kouppas
DAI,Dai Nam,2,8,coal_mine cotton_plantation logging_camp port power_plant railway silk_plantation textile_mill,generic_clothes(clothes),company_nam_dinh company_societe_francaise_charbonnages_du_tonkin
NEP,Nepal,0,0,,,
CLM,Colombia,1,3,port shipyard trade_center,generic_merchant_marine(merchant_marine),company_panama_company
ARG,Argentina,2,6,coal_mine food_industry livestock_ranch motor_industry port railway,river_plate_beef(meat),company_compania_sansinena_de_carnes_congeladas company_cordoba_railway
SIA,Siam,4,10,chemical_plant coffee_plantation logging_camp port power_plant railway rice_farm rubber_plantation tea_plantation tooling_workshop,generic_grain(grain),company_a_markwald_and_company company_b_grimm company_guthrie company_siam_electrical_company_limited
MOR,Morocco,0,0,,,
OMA,Oman,0,0,,,
SHW,Shewa,0,0,,,
SAF,South Africa,1,2,gold_mine iron_mine,,company_de_beers
PHI,Philippines,1,2,port urban_center,,
BEL,Belgium,2,5,iron_mine motor_industry railway steel_mill tooling_workshop,generic_tools(tools),company_franco_belge company_john_cockerill
BAV,Bavaria,1,3,livestock_ranch power_plant textile_mill,,company_ingolstadt_electrical_company
BUR,Burma,0,0,,,
