# Top40EcoBoost CHAMP-selection pass (stage 2). Regenerate: gen_ecoboost_plan.py (reads SELECT_ECOBOOST_WIP.csv).,,,,,,,,,,,,
# good(a)   = a building levels of that good today.   good^ = can build it but 0 today (potential).,,,,,,,,,,,,
# good(a)<b>= SUPPORT/must-have: in shortage (produced/demand < 0.5); seed about b levels (b kept near a).,,,,,,,,,,,,
# CHAMP = 3 ranked candidates  pick 1 (this pass finalizes champ + maybe 1-2 support).,,,,,,,,,,,,
# SUPPORT = loose first-cut (best to build x of in ~4-5 yrs; incl. empty-but-wanted). Final support = a later pass.,,,,,,,,,,,,
# MUST-HAVE = the 6 eco-starters (iron/wood/grain/fish/fabric/tools) a tag can't self-supply >=0.5. wood/iron also seeded by Track-B.,,,,,,,,,,,,
# company[n] = good targeted by n flavored companies (wood* = hardwood). old_picks = your earlier hand picks.,,,,,,,,,,,,
tag,country,X,mkt,identity,final champ,pass1 support,champ_candidates,support_candidates,must_have_starters,company_goods,old_picks,notes
NET,Netherlands,4,yes,"trade, textiles & colonial goods",clothes,furniture sugar groceries steel tools glass,sugar(1) grain(7) wood(2),wood(2)<2> fabric(1)<2> silk(0)<2> iron(0)<1> dye^<1>,wood(2)<2> fabric(1)<2> iron(0)<1>,radios[1],clothes furniture,
SOK,Sokoto,4,no,cotton & tropical cash crops,grain,meat fruit tobacco coffee groceries wood fabric,tobacco(6) coffee(2) grain(7),groceries(0)<2> furniture(0)<2> fish(0)<2> clothes(1)<1> wood^<1>,fish(0)<2> wood^<1>,,grain meat,isolated market
SAR,Sardinia-Piedmont,4,yes,steel & early industry,fabric ,tools wine sugar groceries steel,fabric^ wine(4) tools(2),groceries(1)<1> sugar(0)<1>,fabric^<2>,steel[1] automobiles[1],fish groceries,
SWE,Sweden,4,yes,bar iron & engineering,iron,coal fish groceries furniture paper,iron(7) wood(15) tools(1),fabric(0)<2> groceries(0)<1> furniture(0)<1> tools(1)<1>,fabric(0)<2> tools(1)<1>,telephones[1] fine_art[1] iron[1],iron fish,
HYD,Hyderabad,3,no,cotton & princely agriculture,paper,wood grain iron,wood^ grain^ silk(3),groceries(0)<2> clothes(0)<2> furniture(0)<2> fish(0)<2> grain^<2>,fish(0)<2> grain^<2> wood^<2> iron^<1>,,fabric grain,isolated market
GRE,Greece,3,yes,"wine, tobacco & maritime",wine,fabric tobacco fabric tools,wine(2) tobacco(1) fabric(2),groceries(0)<1> clothes(0)<1> furniture(0)<1>,,tools[1],wine tobacco,
DAI,Dai Nam,3,yes,"rice, coffee & silk",fish,meat wood tea opium,wood^ tea(2) opium(2),groceries(0)<2> clothes(0)<2> furniture(0)<2> fish(2)<1> fabric^<1>,fish(2)<1> grain(2)<1> wood^<1> fabric^<1>,clothes[1],meat fish,
NEP,Nepal,3,no,Himalayan opium & timber,wood,groceries furniture clothes glass grain fruit tea tobaco,tobacco(1) tea(1),groceries(0)<2> furniture(0)<2> clothes(0)<2> fish(0)<2> grain^<2>,fish(0)<2> grain^<2> wood^<1> fabric(0)<1>,,grain iron,isolated market
CLM,Colombia,3,yes,coffee & tobacco,coffee,tobacco sugar iron groceries,tobacco(4) coffee(3) sugar(2),groceries(0)<1> clippers(0)<1> iron^<1> small_arms(0)<1>,iron^<1>,merchant_marine[1],coffee sugar,
ARG,Argentina,3,yes,cattle (meat) & grain pampas,meat,tobaccol tools fabric paper groceries,meat(4) tobacco(3) tools(1),fabric(0)<1> groceries(0)<1> paper(0)<1>,fabric(0)<1>,meat[1],meat tobacco,
SIA,Siam,2,no,rice & tropical exports,fish,tea wood fabric grain groceries furniture,grain(3) tobacco(2) tea(2),groceries(0)<2> clothes(0)<2> furniture(0)<2> wood^<1> fabric^<1>,wood^<1> fabric^<1>,grain[1],fish tea,isolated market
MOR,Morocco,2,yes,agrarian livestock & coast,fabric ,meat tools grain fish,fabric^ tools(1) meat(6),wood(1)<1> groceries(0)<1> furniture(0)<1> grain^<2> clothes(1)<1>,wood(1)<1> fabric^<1> grain^<2>,,meat fabric,
OMA,Oman,2,yes,"coffee, dates & ocean trade",coffee,fish grain clothes furniture,coffee(1) wood(2) fish(5),groceries(0)<1> clothes(0)<1> furniture(0)<1> grain^<1>,grain^<1>,,coffee fish,
SHW,Shewa,2,no,Ethiopian coffee highlands,coffee,tobaccoo grain fabric,tobacco(1) coffee(1) wood(1),groceries(0)<1> clothes(0)<1> furniture(0)<1> fish(0)<1> fabric^<1>,fish(0)<1> fabric^<1>,,grain coffee,isolated market
SAF,South Africa,2,no,"wine, wool & frontier mining",meat,wood fish furniture clothes,wine(1) grain(3) meat(2),groceries(0)<1> clothes(0)<1> furniture(0)<1> clippers(0)<1> wood^<1>,wood^<1>,,meat fish,isolated market
PHI,Philippines,2,yes,sugar & tropical plantations,sugar,tobacco grain fish,tobacco(8) sugar(3) grain(11),groceries(0)<1> clothes(0)<1> furniture(0)<1> wood^<1> fabric^<1>,wood^<1> fabric^<1> iron^<1>,,sugar coffee,
BEL,Belgium,2,yes,"coal, steel & tools industry",steel,tools explosives engines iron coal,tools(3) steel(2) explosives(1),fabric(0)<2> sugar(0)<1> fish(1)<1> dye(0)<1> engines(0)<1>,fabric(0)<2> fish(1)<1>,tools[1],tools coal,
BAV,Bavaria,2,yes,"beer (wine), grain & timber",wine,fertilizer paper tool furniture groceries,wine(2) grain(19) wood(6),fabric(0)<1> fish(0)<2> fertilizer(0)<1> paper(0)<1> sugar(0)<2>,fabric(0)<1> fish(0)<2> tools(0)<1>,,furniture groceries,
BUR,Burma,2,no,"rice, teak & opium",tea,opium tobacco wood fabric grain,tobacco(2) tea(1) opium(1),groceries(0)<1> clothes(0)<1> furniture(0)<1> wood^<1> fabric^<1>,wood^<1> fabric^<1>,,grain fabric,isolated market
