id,framework,item,expectation,source_doc,status,comments,uat_comments
LT-05,Framework-Logtriage,aggr-log-matches.py (refocus),"markers fired/unfired + re-fire + loc-for-all-kw over the FULL common pool (not a private log scan)","ROADMAP §Logtriage",,,
LT-06,Framework-Logtriage,run-log-diag.py (Set3 master),"orchestrate diagnostics engine -> log-CURR/<Mod>/diagnostics.md + global","ROADMAP §Logtriage",,,
LT-07,Framework-Logtriage,lib_diag.py,"SAFE condition evaluator over a metrics dict (no eval) + fired() + render_md()","ROADMAP §Logtriage; LT/MANIFEST rework (built)",,,
LT-08,Framework-Logtriage,ext-diag-eval.py,"metrics + diag_literals -> fired rows (condition TRUE & status=keep)","ROADMAP §Logtriage",,,
LT-09,Framework-Logtriage,gen-diag-md.py,"render fired rows (text+logical_reasoning) -> diagnostics.md; ALL strings from CSV (NO-LITERALS)","ROADMAP §Logtriage",,,
LT-10,Framework-Logtriage,chk-diagnostics.py,"executable data-driven self-test of the evaluator vs diag_snippets (python chk-*.py NOT pytest); doc claims 5/5","ROADMAP naming-clarification + build-status",,,
LT-11,Framework-Logtriage,diag_snippets.example.csv,"evaluator test cases: condition,metrics,expected,sample error-log snippet","ROADMAP §Logtriage; LT/MANIFEST rework",,,
LT-12,Framework-Logtriage,smoke_detector.example.csv,"tracked seed (human_agreed,pattern,count,example - example=exact matched line); LOADED into log-CURR ROOT at runtime (example->ROOT pattern)","ROADMAP principles + §Logtriage",,,
LT-13,Framework-Logtriage,diag_literals.example.csv (log-side),"diagnostics rules: id,text,condition,logical_reasoning,user_comments,status(keep|ignore)","ROADMAP principles",,,
LT-14,Framework-Logtriage,run-logtriage.py (top master),"REWORKED convenience master: Sets 1->2->3 for all mods in config_logmods.toml (roadmap TODO; old pre-rework version currently on disk)","ROADMAP §Logtriage; PROGRESS 07-01 NEXT",,,
LT-15,Framework-Logtriage,config_logtriage.toml,"log files+severity; refire threshold; [smoke]; common output names; verdict strings - NO literals in scripts","LT/README config; ROADMAP",,,
LT-16,Framework-Logtriage,config_logmods.toml,"tracked list of mod names the convenience master batches","ROADMAP §Logtriage",,,
LT-17,Framework-Logtriage,benign.csv retirement,"benign.csv RENAMED/superseded by smoke_detector (+example col); old file should not linger as a second source of truth","ROADMAP why-#2 + principles",,,
LT-18,Framework-Logtriage,anal-log-triage.py retirement,"OLD analyser superseded by Set-1/2/3; retire when Set-2/3 land (still pending = acceptable only until then)","LT/MANIFEST rework",,,
LT-19,Framework-Logtriage,docs current (README+MANIFEST),"README still describes ONLY the old single-mod pipeline/outputs; must reflect SORT-not-FILTER sets + common raws + multi-mod","LT/README vs ROADMAP; DEV-RULES make-your-bed",,,
SP-01,Framework-SaveParse,run-save-parse.py (Set1 master),"parse the save ONCE -> COMMON raws at save-CURR ROOT; skip if present / --rerun; NEVER re-parse per mod","ROADMAP §SaveParse + why-#1",,,
SP-02,Framework-SaveParse,ext-save-blocks.py,"retarget output to save-CURR ROOT (COMMON) + add raw_pops.csv manager; stays 100% mod-agnostic (T101)","ROADMAP §SaveParse; SP/README T101",,,
SP-03,Framework-SaveParse,aggr-save-census.py,"COMMON raws -> save-CURR/raw_state_census.csv (mod-agnostic part of old census)","ROADMAP §SaveParse",,,
SP-04,Framework-SaveParse,run-save-aggr.py (Set2 master),"per mod: COMMON raws + data-<Mod> -> save-CURR/<Mod>/aggr_*","ROADMAP §SaveParse",,,
SP-05,Framework-SaveParse,aggr-save-matches.py (refocus),"persisted mod tokens/vars/modifiers/fingerprints (doc_path+value+date) reading the COMMON raws","ROADMAP §SaveParse; SP/README outputs",,,
SP-06,Framework-SaveParse,aggr-save-overbuild.py,"per-mod over-cap classification via GENERIC config cap-var pattern (T101; MISSING-CAP not false pass)","ROADMAP §SaveParse; SP/README cap section",,,
SP-07,Framework-SaveParse,run-save-diag.py (Set3 master),"save diagnostics -> save-CURR/<Mod>/diagnostics.md; reuse Logtriage lib_diag OR light own version (decide at impl; no pre-abstraction)","ROADMAP §SaveParse",,,
SP-08,Framework-SaveParse,run-saveparse.py (top master),"REWORKED convenience: Set1->Set2->Set3 all mods (roadmap TODO; old pre-rework flow currently on disk)","ROADMAP §SaveParse",,,
SP-09,Framework-SaveParse,config_saveparse.toml,"manager targets+columns (+raw_pops manager) / fixed-point factor / generic cap-var pattern / capped-building catalog / verdicts - NO literals","ROADMAP §SaveParse; SP/README config",,,
SP-10,Framework-SaveParse,diag_literals.example.csv (save-side),"save-side diagnostics rules (same schema as log-side)","ROADMAP §SaveParse",,,
SP-11,Framework-SaveParse,old pipeline retirement (aggr-state-census.py + anal-save-report.py),"superseded by the Set1-3 split when it lands; must not linger as parallel truth after","ROADMAP §SaveParse (split replaces them)",,,
SP-12,Framework-SaveParse,docs current (README+MANIFEST),"README/MANIFEST still document ONLY the old flow; NO rework-additions section (Logtriage's manifest has one) - must reflect the split + stub status","SP/README+MANIFEST vs ROADMAP; make-your-bed",,,
TG-01,Framework-Toggle,ext-toggle-markers.py (ss1),"find fp*/debug_log(_scopes) lines in ONE file","ROADMAP §Toggle",,,
TG-02,Framework-Toggle,run-toggle-file.py (ss2),"comment/uncomment ONE file (uses ss1+ss3)","ROADMAP §Toggle",,,
TG-03,Framework-Toggle,chk-toggle-scopes.py (ss3),"brace balance + NO empty scope (if/else_if/else/immediate/when_taken/option/trigger/...) after toggle","ROADMAP §Toggle",,,
TG-04,Framework-Toggle,run-toggle.py (ss4 master),"target = repo folder / mod folder / single file; loop over ss2","ROADMAP §Toggle",,,
TG-05,Framework-Toggle,config_toggle.toml relocation,"config moves from Framework-common INTO Framework-Toggle + gains the scope-keyword set","ROADMAP §Toggle (TODO)",,,
TG-06,Framework-Toggle,README.md + MANIFEST.md registration,"a new framework is not done until discoverable: own README+MANIFEST + row in v2/README.md + DOC-INDEX (make-your-bed) - currently NONE exists","DEV-RULES register-framework rule",,,
GV-01,Game-Victoria3,DATA-ONLY invariant,"Game-* folders host ONLY gitignored per-run data - NO code, NO config, NO README","DEV-RULES rework rules; common/README",,,
GV-02,Game-Victoria3,gitignore wholesale,"v2/.gitignore ignores tools/Game-*/ WHOLESALE (no per-dir peppering) + Framework-common/config_game.toml","PROGRESS 07-01 core-rule fix; v2/README",,,
GV-03,Game-Victoria3,data-<Mod>/ contract,"raw_files/raw_keywords/raw_debuglines/raw_loc/raw_fingerprints/raw_tokens.csv per mod; no CURR concept (overwritten in place)","MP/README outputs; ROADMAP §Game layout",,,
GV-04,Game-Victoria3,log-CURR ROOT contract,"COMMON raw_errors.csv + raw_loglines.csv + smoke_detector.csv (loaded from example) at ROOT; _global/error_patterns.csv; per-mod <Mod>/ subdirs for aggr+diagnostics","ROADMAP §Game layout",,,
GV-05,Game-Victoria3,save-CURR ROOT contract,"COMMON raw_countries/states/buildings/state_regions/pops/state_census.csv at ROOT (built ONCE); per-mod <Mod>/ subdirs for aggr+diagnostics","ROADMAP §Game layout",,,
GV-06,Game-Victoria3,newest-only-CURR behaviour,"exactly ONE log-CURR* and ONE save-CURR* at any time; prior runs demoted to <kind>-<label> and PERSIST for fallback","HOW_TO_USE §7; PROGRESS 07-01",,,
XC-01,cross-cutting,naming compliance sweep,"code .py = hyphen names with class prefix; data/config = underscore; ONLY lib_* (imported by name) keep underscore; tests are chk-* executables NOT pytest test_*.py","DEV-RULES separator convention; ROADMAP naming",,,
XC-02,cross-cutting,NO-LITERALS compliance,"no user-facing diagnostic text / verdicts / thresholds / filenames hardcoded in scripts - all from config_*.toml / diag_literals / smoke_detector","ROADMAP principles; vision §A",,,
XC-03,cross-cutting,arg contract + no hardcoded paths,"masters use the multi-mod front-end (--all); sub-scripts keep arg1=MOD_NAME (arg2=MOD_PATH where source needed); zero absolute/hardcoded paths in code","DEV-RULES tooling design; common/README",,,
XC-04,cross-cutting,50-line glue guideline,"ext-/aggr-/run- glue stays ~<=50 lines; cohesive lib_/anal-/chk- may exceed; real metric = no duplicated logic + externalized config","vision §A + MDF critique #2",,,
XC-05,cross-cutting,worktree-top registration,"v2/README.md tools section + DOC-INDEX reflect the rework (Sets/splits/Framework-Toggle); no stale log-CURR-*/save-CURR-* path forms","DEV-RULES register-framework; DOC-INDEX",,,
XC-06,cross-cutting,master-only guardrail readiness,"end state: Claude only runs MASTER scripts + edits configs + APPENDS to smoke_detector/diag_literals; the master set must cover the whole flow for that to hold","DEV-RULES rework rules FUTURE GUARDRAIL",,,
