id,framework,item,expectation,source_doc,status,comments,uat_comments
LT-04,Framework-Logtriage,run-log-aggr.py (Set2 master),per mod: join COMMON raws vs data-<Mod> -> log-CURR/<Mod>/aggr_* + metrics.csv,ROADMAP §Logtriage; PROGRESS NEXT,DONE,BUILT: run-log-aggr Set-2 master; per-mod log-CURR/<Mod>/ aggr + metrics produced (built Phase 2/3 per PROGRESS; VALIDATED green in the 07-03 run-debug-master --all across all 10 mods).,
LT-05,Framework-Logtriage,aggr-log-matches.py (refocus),markers fired/unfired + re-fire + loc-for-all-kw over the FULL common pool (not a private log scan),ROADMAP §Logtriage,DONE,REFOCUSED onto the common raw_loglines pool (no per-mod log re-scan) + new aggr-log-markers (built Phase 2/3 per PROGRESS; VALIDATED green in the 07-03 run-debug-master --all across all 10 mods).,
LT-06,Framework-Logtriage,run-log-diag.py (Set3 master),orchestrate diagnostics engine -> log-CURR/<Mod>/diagnostics.md + global,ROADMAP §Logtriage,DONE,BUILT: run-log-diag Set-3 master over the shared diagnostics engine; per-mod diagnostics.md (built Phase 2/3 per PROGRESS; VALIDATED green in the 07-03 run-debug-master --all across all 10 mods).,make sure to modularize and make sub scripts reuseable by being able to be called for different versions of the literal csv. This is a promising component that should be polished so in future it can work on log extracts from other pdx games with just swapping the literals csv
LT-07,Framework-Logtriage,lib_diag.py,SAFE condition evaluator (no eval) + fired() + render_md(); all prose from CSV,ROADMAP §Logtriage,DONE,"read in full (52 ln); regex-parsed single comparisons, whitelisted ops, unknown metric => False; render pulls text/reasoning from rows only",
LT-08,Framework-Logtriage,ext-diag-eval.py,metrics + diag_literals -> fired rows (condition TRUE & status=keep),ROADMAP §Logtriage,DONE,BUILT: ext-diag-eval with --literals swappable rules CSV (UAT LT-06 reuse) (built Phase 2/3 per PROGRESS; VALIDATED green in the 07-03 run-debug-master --all across all 10 mods).,
LT-09,Framework-Logtriage,gen-diag-md.py,render fired rows -> diagnostics.md; ALL strings from CSV (NO-LITERALS),ROADMAP §Logtriage,DONE,"BUILT: gen-diag-md (all finding prose from CSV, NO-LITERALS) (built Phase 2/3 per PROGRESS; VALIDATED green in the 07-03 run-debug-master --all across all 10 mods).",
LT-10,Framework-Logtriage,chk-diagnostics.py,executable data-driven self-test vs diag_snippets (python chk-*.py NOT pytest),ROADMAP naming-clarification,DONE,RAN THIS SESSION: 5/5 passed exit 0; chk- executable form honored (no pytest),
LT-11,Framework-Logtriage,diag_snippets.example.csv,"evaluator test cases: condition,metrics,expected,sample snippet",ROADMAP §Logtriage,DONE,5 cases incl a metric-vs-metric-adjacent form; will need new cases as Set-2 metrics appear,
LT-12,Framework-Logtriage,smoke_detector.example.csv,"tracked seed (human_agreed,pattern,count,example); LOADED into log-CURR ROOT at runtime",ROADMAP principles,DONE,schema incl example col correct; run-log-sort copy-if-absent verified in code; log-CURR/smoke_detector.csv exists on disk,
LT-13,Framework-Logtriage,diag_literals.example.csv (log-side),"rules: id,text,condition,logical_reasoning,user_comments,status(keep|ignore)",ROADMAP principles,DONE,schema exact; 3 seed rules (LOG001-003) with reasoning text,
LT-14,Framework-Logtriage,run-logtriage.py (top master),REWORKED convenience: Sets 1->2->3 for all mods in config_logmods.toml,ROADMAP §Logtriage; PROGRESS NEXT,DONE,REWORKED: run-logtriage runs Sets 1->2->3; mods via positional/--all/config_logmods; run-log-sort is the SOLE archive point (double-archive trap killed) (built Phase 2/3 per PROGRESS; VALIDATED green in the 07-03 run-debug-master --all across all 10 mods).,
LT-15,Framework-Logtriage,config_logtriage.toml,log files+severity; refire; [smoke]; common output names; no literals in scripts,LT/README config; ROADMAP,DONE,[logs][analysis][benign][smoke][outputs] all present incl common+per-mod names; transitional dual [benign]+[smoke] until Set2/3 retire benign,
LT-16,Framework-Logtriage,config_logmods.toml,tracked mod list the convenience master batches,ROADMAP §Logtriage,DONE,exists (3 mods; empty => --all fallback documented). NOTE: no script consumes it yet - wiring belongs to LT-14,
LT-17,Framework-Logtriage,benign.csv retirement,benign.csv RENAMED/superseded by smoke_detector; must not linger as second truth,ROADMAP why-#2,DONE,"DONE Phase 2: benign.csv git rm'd after MIGRATING its 10 curated rows (eco TYPE bug etc, verdicts preserved) into smoke_detector.example.csv; [benign] config section removed.",
LT-18,Framework-Logtriage,anal-log-triage.py (old analyser),superseded by Sets 1-3; retire when Set-2/3 land,LT/MANIFEST rework,RETIRED,RETIRED Phase 2: anal-log-triage.py git rm'd (the filter-the-logs + hardcoded-literals fault fully replaced by Sets 1-3). Verified absent 07-03.,
LT-19,Framework-Logtriage,docs current (README+MANIFEST),README reflects SORT-not-FILTER sets + common raws + multi-mod,LT/README vs ROADMAP,DONE,Verified 07-03: LT README reflects SORT-not-FILTER Sets + common raws + multi-mod --all; MANIFEST carries the rework table.,
SP-01,Framework-SaveParse,run-save-parse.py (Set1 master),parse save ONCE -> COMMON raws at save-CURR ROOT; skip-if-present/--rerun,ROADMAP why-#1,DONE,"BUILT: run-save-parse Set-1 parse-once master (ROOT common pool, reuse/--rerun, sole archive point) (built Phase 2/3 per PROGRESS; VALIDATED green in the 07-03 run-debug-master --all across all 10 mods). Naming nit run-save-parse vs run-saveparse (one hyphen) flagged for UAT.","Is there a way to get market /goods values for per state from saves(find in TEST_ME.v3)? Knowing the goods values for mid/end game saves will be of much help ( if this is too complex, defer to a TODO)"
SP-02,Framework-SaveParse,ext-save-blocks.py,retarget output to save-CURR ROOT (COMMON) + add raw_pops manager; stays mod-agnostic (T101),ROADMAP §SaveParse,DONE,DONE (UAT SP-02 split satisfied): ext-save-blocks = RAW-ID extract retargeted to save-CURR ROOT + raw_pops manager; the id->name/link ENRICH is the SEPARATE aggr-save-census; goods id->name is a TRACKED literal generated offline by hk anal-goods-ids.py (built Phase 2/3 per PROGRESS; VALIDATED green in the 07-03 run-debug-master --all across all 10 mods).,save game stores data with IDs for states/pops/tags/etc. divide it into script - one to output the info with raw IDs. Then a new script that would 'enrich' this info with actual values from game file extracts which can be stored as literal list . No hard coding in scripts. Keep size <50 ( or 100 lines ... I dont remember the limit set in rules. use appropriate size)
SP-03,Framework-SaveParse,aggr-save-census.py,COMMON raws -> save-CURR/raw_state_census.csv (mod-agnostic census),ROADMAP §SaveParse,DONE,BUILT: aggr-save-census = mod-agnostic ENRICH join (owner tag/market + state-region template) at ROOT (built Phase 2/3 per PROGRESS; VALIDATED green in the 07-03 run-debug-master --all across all 10 mods).,
SP-04,Framework-SaveParse,run-save-aggr.py (Set2 master),per mod: COMMON raws + data-<Mod> -> save-CURR/<Mod>/aggr_*,ROADMAP §SaveParse,DONE,BUILT: run-save-aggr Set-2 master (built Phase 2/3 per PROGRESS; VALIDATED green in the 07-03 run-debug-master --all across all 10 mods).,
SP-05,Framework-SaveParse,aggr-save-matches.py (refocus),persisted tokens/vars/modifiers/fp (doc_path+value+date) reading the COMMON raws,ROADMAP §SaveParse,DONE,REFOCUSED onto the common raw_flags pool (no per-mod save re-read); decodes fixed-point (built Phase 2/3 per PROGRESS; VALIDATED green in the 07-03 run-debug-master --all across all 10 mods).,
SP-06,Framework-SaveParse,aggr-save-overbuild.py,per-mod over-cap classify via GENERIC config cap pattern (T101),ROADMAP §SaveParse,DONE,"BUILT: aggr-save-overbuild; T101 cap logic PORTED + the cap-join FIXED (states.region=template name, bridged srid->template) + NO_CAP_SYSTEM verdict; 07-03 PvtCap = real engine-overbuilds, other mods 0 (not noise).",
SP-07,Framework-SaveParse,run-save-diag.py (Set3 master),save diagnostics -> save-CURR/<Mod>/diagnostics.md; lib_diag reuse decided at impl,ROADMAP §SaveParse,DONE,BUILT: run-save-diag Set-3 reuses the SHARED lib_diag (moved to Framework-common) via --kind save-CURR (built Phase 2/3 per PROGRESS; VALIDATED green in the 07-03 run-debug-master --all across all 10 mods).,
SP-08,Framework-SaveParse,run-saveparse.py (top master),REWORKED convenience: Set1->2->3 all mods,ROADMAP §SaveParse,DONE,"REWORKED: run-saveparse top Set1->2->3, multi-mod/--all (built Phase 2/3 per PROGRESS; VALIDATED green in the 07-03 run-debug-master --all across all 10 mods).",
SP-09,Framework-SaveParse,config_saveparse.toml,manager targets+columns (+raw_pops manager) / factor / cap pattern / capped catalog / verdicts,ROADMAP §SaveParse,DONE,raw_pops manager ADDED (managers.pops present) session 3; fixed-point factor + generic cap pattern + capped catalog + nonpersist pattern + diag seeds + output names all present. Verified on disk 07-03.,
SP-10,Framework-SaveParse,diag_literals.example.csv (save-side),save-side rules; same schema as log-side,ROADMAP §SaveParse,DONE,schema exact; 2 seed rules (SAV001-002),
SP-11,Framework-SaveParse,old pipeline (aggr-state-census.py + anal-save-report.py),superseded by the split when it lands; must not linger after,ROADMAP §SaveParse,RETIRED,RETIRED session 3: aggr-state-census.py + anal-save-report.py git rm'd; the proven T101 cap/census logic PORTED into aggr-save-overbuild/aggr-save-census (not rewritten blind). Verified both absent 07-03.,
SP-12,Framework-SaveParse,docs current (README+MANIFEST),README/MANIFEST reflect the split + stub status (Logtriage MANIFEST has a rework section; this one has NONE),SP/README+MANIFEST vs ROADMAP,DONE,"Done session 3 + verified 07-03: SP README+MANIFEST as-built (rework banner, market/goods T103, old aggr-state-census+anal-save-report RETIRED note, goods generator relocation).",These frameworks needs to be highly polished and reliable and reuseable (with minimal edits) . Add a TODO to FURTHER modularize and create game wise config/literal/game-master folders within each framework that can handle these tasks for other pdx games
TG-01,Framework-Toggle,ext-toggle-markers.py (ss1),find fp*/debug_log(_scopes) in ONE file,ROADMAP §Toggle,DONE,BUILT: finds debug_log(_scopes)/_fingerprint_ marker lines in ONE abs-path file via lib_toggle.find_markers (read-only). Proven independently on test_file_to_del.txt: 6 markers.,
TG-02,Framework-Toggle,run-toggle-file.py (ss2),comment/uncomment ONE file (uses ss1+ss3),ROADMAP §Toggle,DONE,"BUILT: toggles ONE abs-path file (--on/--off; dry-run default / --commit) via lib_toggle marker-toggle + empty-scope collapse, then runs the ss3 check. BOM+CRLF preserved; PROVEN byte-identical --off->--on round-trip on test_file_to_del.txt. NOTE: 'uses ss1+ss3' realised via the shared importable lib_toggle, not a subprocess.",
TG-03,Framework-Toggle,chk-toggle-scopes.py (ss3),brace balance + NO empty scope after toggle,ROADMAP §Toggle,DONE,BUILT: independent static check on ONE abs-path file (brace balance + no ACTIVE configured-scope opener left empty-except-limit) via lib_toggle.check_scopes; exit 0/1. Scope set is config-driven (config_toggle.toml scope_keywords). chk-* executable form (not pytest). Passed on the collapsed fixture.,
TG-04,Framework-Toggle,run-toggle.py (ss4 master),target = repo/mod/file; loop over ss2,ROADMAP §Toggle,DONE,"BUILT: master; target = single file / folder / --mod (config_game.toml). Loops via the SAME lib_toggle primitives ss2 uses (shared-lib pattern per DEV-RULES tooling-design, NOT per-file subprocess). Proven --off/--on over a --path folder + byte round-trip. Guardrail honoured: only fixture-tested, never run against mod1.",
TG-05,Framework-Toggle,config_toggle.toml relocation,config moves from Framework-common INTO Framework-Toggle + gains scope-keyword set,ROADMAP §Toggle (TODO),DONE,DONE: config_toggle.toml moved Framework-common -> Framework-Toggle; gained scope_keywords set (if/else_if/else/immediate/option/trigger/hidden_effect/when_taken/random/random_list/first_valid/switch). Old Framework-common copy git rm'd; lib_toggle loads it locally.,
TG-06,Framework-Toggle,README.md + MANIFEST.md registration,a new framework is not done until discoverable: own README+MANIFEST + v2/README.md row + DOC-INDEX,DEV-RULES register-framework,DONE,"DONE: Framework-Toggle README+MANIFEST rewritten to as-built (BUILT status, lib_toggle + 4 subs + config + fixture rows); Framework-common README/MANIFEST/HOW_TO_USE §6+quickstart+tables, v2/README, DOC-INDEX all repointed off the retired interim onto run-toggle/lib_toggle.",
GV-01,Game-Victoria3,DATA-ONLY invariant,Game-* hosts ONLY gitignored per-run data - NO code/config/README,DEV-RULES rework rules,DONE,root listing = data dirs only; git ls-files Game-Victoria3 = 0 tracked files. Clean since the 07-01 relocation fix,
GV-02,Game-Victoria3,gitignore wholesale,v2/.gitignore ignores tools/Game-*/ WHOLESALE + Framework-common/config_game.toml,PROGRESS 07-01,DONE,both rules verified verbatim in v2/.gitignore with rationale comments; no per-folder .gitignore peppering,
GV-03,Game-Victoria3,data-<Mod>/ contract,raw_files/keywords/debuglines/loc/fingerprints/tokens.csv per mod; no CURR concept,MP/README; ROADMAP layout,DONE,data-InfraTaxMod verified: exactly the 6 raw_* files; 11 mods + _EXAMPLE_Mod present,
GV-04,Game-Victoria3,log-CURR ROOT contract,COMMON raw_errors+raw_loglines+smoke_detector at ROOT; _global/error_patterns.csv; per-mod <Mod>/ subdirs,ROADMAP layout,DONE,COMPLETE: log-CURR ROOT common raws + per-mod <Mod>/ (aggr + diagnostics) both live; verified on disk after the 07-03 --all run.,
GV-05,Game-Victoria3,save-CURR ROOT contract,COMMON raw_countries/states/buildings/state_regions/pops/state_census at ROOT (built ONCE); per-mod subdirs,ROADMAP layout,DONE,COMPLETE: save-CURR is the NEW layout — ROOT common raws (buildings/states/countries/state_regions/pops/flags/market_goods/census + goods_ids + diag_literals) built ONCE + per-mod <Mod>/ subdirs; verified on disk 07-03.,
GV-06,Game-Victoria3,newest-only-CURR behaviour,exactly ONE log-CURR* and ONE save-CURR*; priors demoted to <kind>-<label> and persist,HOW_TO_USE §7,DONE,"archive-curr read in full + demoted dirs on disk (log-202607011404, _1, log-202607012050, save-202607011427) prove demotion incl collision _N; called once-per-master before the mod loop. Caveat shared with LT-14: two masters in one sitting still each re-archive",
XC-01,cross-cutting,naming compliance sweep,code = hyphen + class prefix; data/config = underscore; only lib_* keep underscore; tests are chk-* executables,DEV-RULES separator convention,DONE,Naming compliant; the grandfathered 'testbook-toggle-markers' interim is now RETIRED (died with the Toggle split as predicted). All code hyphen+class; lib_toggle/lib_diag + configs keep underscore correctly.,
XC-02,cross-cutting,NO-LITERALS compliance,no diagnostic text/verdicts/thresholds/filenames hardcoded - all from config/diag_literals/smoke_detector,ROADMAP principles,DONE,"NO-LITERALS holds end-to-end: the two OLD hardcoded-text analysers (anal-log-triage, anal-save-report) are git rm'd; all live diagnostic text/verdicts come from diag_literals + smoke_detector CSVs (verified: both analyser files absent).",
XC-03,cross-cutting,arg contract + no hardcoded paths,masters use multi-mod front-end (--all); subs keep arg1=MOD_NAME; zero hardcoded paths in code,DEV-RULES tooling design,DONE,grep across all Framework-*/*.py: zero absolute paths (only the gitignored config_game.toml holds machine paths - by design); all 4 masters on parse_master_args (--help smoke-passed); subs on lib_args.parse_args,
XC-04,cross-cutting,50-line glue guideline,ext-/aggr-/run- glue ~<=50 ln; cohesive lib_/anal-/chk- may exceed,vision §A + critique #2,DONE,"glue max = 56 (aggr-log-matches) with most 27-43; overs are the sanctioned cohesive set (lib_parse 141, toggle 177, old anals 140/105/75 which retire anyway)",
XC-05,cross-cutting,worktree-top registration,v2/README.md + DOC-INDEX reflect the rework; no stale path forms; every tracked md reachable,DEV-RULES no-orphan-docs,DONE,"Phase 5 07-03: v2/README refreshed (4 frameworks, Toggle BUILT, stale 'Refactor complete'/'stubs' removed); DOC-INDEX carries the roadmap + Framework-Toggle rows; roadmap md lives in hk-config (moved Phase 1). No orphan docs / stale CURR path forms.",A note on comments and documentation. Testbook MUST not contain design documentation. That is pure hk-config branch . Testbook must contain How to Use and related documentation.
XC-06,cross-cutting,master-only guardrail readiness,end state: Claude only runs MASTERS + edits configs + APPENDS to smoke_detector/diag_literals,DEV-RULES FUTURE GUARDRAIL,OPEN,CLOSER: Sets 2/3 + SP split + Toggle are now BUILT (not stubs) — the whole flow is master-covered (run-debug-master --all green 07-03). Remaining before enforcing master-only: user UAT sign-off + wiring outputs into the v2 HTML components. Still OPEN pending that.,
TG-07,Framework-Toggle,lib_toggle.py (shared core),NEW (not in original checklist): the importable shared library the ss1-ss4 split is built on - marker toggle + comment-agnostic brace tree + empty-scope collapse + check_scopes + BOM/EOL-preserving IO; underscore kept per the importable-module rule,ADDED 2026-07-03 (toggle split),DONE,"BUILT: ports the retired interim's proven _collapse_scopes verbatim-in-spirit, parameterised by config; primitives find_markers/check_scopes/toggle_file/read_lines/write_file consumed by all four subs. Compiles; exercised via ss1-ss4 fixture run.",
TG-08,Framework-Toggle,interim retirement + doc repoint,NEW: git rm Framework-common/testbook-toggle-markers.py + config_toggle.toml and repoint every reference onto the split (else broken docs pointing at a deleted script),ADDED 2026-07-03 (toggle split),DONE,"DONE: both files rm'd; refs repointed in HOW_TO_USE (§6/quickstart/utility+config tables), Framework-common README+MANIFEST, v2/README, DOC-INDEX. DEV-RULES line 160 still cites 'testbook-toggle-markers' as a hyphen-NAMING example only (historical, harmless) - left as-is.",
